UGL,Union Glacier Blue-Ice Runway,AQ
IVR,Inverell,AU
IWA,Ivanovo Yuzhny Airport,RU
IWD,Gogebic County Airport,US
KOQ,Koethen,DE
KOS,Sihanouk International Airport,KH
KOU,Koulamoutou,GA
KOV,Kokshetau Airport,KZ
KOW,Ganzhou Airport,CN
KPD,King Of Prussia,US
KPO,Pohang Airport,KR
KPS,Kempsey,AU
KPT,Jackpot,US
KPW,Keperveyem Airport,RU
KQH,Kishangarh Airport,IN
KQT,Qurghonteppa International Airport,TJ
KRF,Kramfors Airport,SE
KRN,Kiruna Airport,SE
IWJ,Hagi-Iwami Airport,JP
IWK,Iwakuni Kintaikyo Airport,JP
IXG,Belgaum Airport,IN
IXL,Leh Airport,IN
IXN,Khowai,IN
IXP,Pathankot,IN
IXQ,Kamalpur,IN
IXS,Kumbhirgram Airport,IN
IXT,Pasighat,IN
IXV,Along,IN
IXX,Bidar Air Force Station,IN
IYK,Kern County,US
IZA,Zona da Mata Regional Airport,BR
IZE,Itzehoe/Hungriger Wolf Airport,DE
IZO,Izumo Airport,JP
IZT,Ixtepec,MX
KRC,Kerinci,ID
JAA,Jalalabad,AF
KRE,Kirundo,BI
JAC,Jackson Hole Airport,US
JAD,Jandakot,AU
JAF,Kankesanturai,LK
JAG,Jacobabad,PK
KRK,J. Paul II International Airport Krakow-Balice,PL
KRL,Korla Airport,CN
JAI,Jaipur Airport,IN
JAJ,Perimeter Mall,US
JAK,Jacmel Regional Airport,HT
JAL,Jalapa,MX
JAM,Jambol,BG
JAN,Jackson-Evers International Airport,US
JAO,Beaver Ruin,US
JAP,Punta Renes,CR
JAR,Jahrom,IR
JAU,Jauja Airport,PE
KRO,Kurgan Airport,RU
KBM,Kabwum,PG
KRR,Krasnodar International Airport,RU
KSH,Kermanshah Airport,IR
JBB,Notohadinegoro Airport,ID
KSI,Kissidougou,GN
KSK,Karlskoga,SE
KRW,Turkmanbashi Airport,TM
KRZ,Kiri,CD
KSW,Kiryat Shmona,IL
KTF,Takaka,NZ
KSD,Karlstad Airport,SE
JBC,Boston City Heliport,US
JBK,Berkeley,US
KSJ,Kasos Island Airport,GR
JBR,Jonesboro Airport,US
KSL,Kassala Airport,SD
JBS,Hacienda Bus.Park Heliport,US
KSO,Aristoteles Airport,GR
KSQ,Karshi Airport,UZ
KSS,Sikasso,ML
KST,Kosti,SD
JCA,Croisette Heliport,FR
JCB,Joacaba,BR
KSY,Kars Airport,TR
JCC,China Basin Heliport,US
JCD,Downtown Heliport,VI
KTC,Katiola,CI
JCE,Convention Center Heliport,US
JCI,New Century Aircenter Airport,US
KTG,Ketapang Airport,ID
KTI,Kratie,KH
JCM,Jacobina,BR
KRP,Karup Airport,DK
KRQ,Kramatorsk,UA
KRS,Kristiansand Airport,NO
KRT,Khartoum International Airport,SD
KSA,Kosrae Airport,FM
KSC,Barca Airport,SK
KSE,Kasese Airport,UG
KSF,Kassel-Calden Airport,DE
KSN,Kostanay Airport,KZ
KSU,Kristiansund Airport Kvernberget,NO
KSZ,Kotlas Airport,RU
KTA,Karratha Airport,AU
KTE,Kerteh Airport,MY
KTL,Kitale Airport,KE
JCN,Incheon Heliport,KR
JCO,Heliport,MT
JCT,Kimble County,US
JCU,Ceuta Heliport,ES
KGZ,Glacier Creek,US
JCY,Johnson,US
JDA,John Day,US
KTU,Kota,IN
JDB,Downtown Heliport,US
KTX,Koutiala,ML
KTY,Katukurunda Slaf Base,LK
JDF,Francisco De Assis,BR
JDG,Jeongseok,KR
JDH,Jodhpur Airport,IN
JDM,Miami Downtown Heliport,US
KUI,Kawau Island,NZ
KUJ,Kushimoto,JP
JDN,Jordan,US
KUN,Kaunas Airport,LT
JDO,Orlando Bezerra de Menezes Airport,BR
KUR,Kuran-O-Munjan,AF
JDP,Heliport De Paris,FR
KUT,Kutaisi International Airport,GE
KUU,Bhuntar Airport,IN
KUV,Gunsan Airport,KR
JDR,Sao Joao Del Rei,BR
JDT,Downtown Heliport,US
KVD,Gyandzha Airport,AZ
KVK,Kirovsk Airport,RU
JDY,Heliport,US
JDZ,Jingdezhen Airport,CN
JED,King Abdulaziz International Airport,SA
KWA,Kwajalein Airport,MH
KTP,Tinson,JM
KWD,Kawadjia,CF
KTQ,Kitee,FI
KTT,Kittila Airport,FI
KTW,Katowice International Airport,PL
KUA,Sultan Haji Ahmad Shah Airport,MY
KUD,Kudat Airport,MY
KUF,Kurumoch International Airport,RU
KUH,Kushiro Airport,JP
KUL,Kuala Lumpur International Airport,MY
KUO,Kuopio Airport,FI
KUS,Kulusuk Airport,GL
KVA,Kavala International Airport,GR
KVB,Skovde,SE
KVO,Morava Airport,RS
KVR,Kavalerovo,RU
KVX,Kirov Airport,RU
KWE,Guiyang Longdongbao International Airport,CN
JEE,Jeremie,HT
KWG,Krivoy Rog,UA
KWH,Khwahan,AF
JEF,Memorial,US
KWJ,Gwangju Airport,KR
KWL,Guilin Liangjiang International Airport,CN
KWU,Mansion House,NZ
KWZ,Kolwezi,CD
KXE,Klerksdorp,ZA
KXK,Khurba Airport,RU
KYA,Konya Airport,TR
KZI,Philippos Airport,GR
KXD,Kondinskoye Airport,RU
KZN,Kazan International Airport,RU
KZO,Kzyl-Orda Airport,KZ
KWI,Kuwait International Airport,KW
KZG,Kitzingen,DE
JEG,Aasiaat Airport,GL
JEK,Jeki Airport,ZM
KYD,Orchid Island,TW
KYE,Kleyate,LB
JEM,Heliport,US
JEQ,Jequie,BR
JFM,Heliport,AU
KYL,Port Largo,US
KYN,Milton Keynes,GB
KYO,Topp Of Tampa,US
JFN,Ashtabula,US
KYS,Kayes,ML
KYT,Kyauktaw,MM
JFR,Paamiut Airport,GL
JGE,Heliport,KR
KYZ,Kyzyl Airport,RU
JGL,Galleria Heliport,US
KZC,Kompong-Chhna,KH
KZD,Krakor,KH
JGN,Jiayuguan Airport,CN
JGO,Qeqertarsuaq,GL
JGP,Greenway Plaza Heliport,US
JGQ,Transco Twr Galleria,US
JGR,Heliport,GL
JGS,Ji'An/Jing Gang Shan Airport,CN
JGX,Heliport,US
JHB,Senai Airport,MY
JHC,Island Heliport,US
JHE,Heliport,SE
JHG,Xishuangbanna Gasa Airport,CN
JHL,Albian,CA
JHM,Kapalua Airport,US
JHS,Sisimiut Airport,GL
JIC,Jinchuan Airport,CN
KZS,Kastellorizo Airport,GR
LAA,Lamar Field,US
LAD,Quatro de Fevereiro Airport,AO
LAH,Labuha,ID
LAG,La Guaira,VE
JID,City Of Industry Heliport,US
LAI,Servel Airport,FR
LAJ,Correia Pinto Airport,BR
LAL,Municipal,US
JIJ,Jigiga Airport,ET
LAM,Los Alamos,US
LBI,Le Sequestre,FR
LAP,Leon Airport,MX
LAQ,La Braq Airport,LY
LAR,General Brees Field,US
LAT,La Uribe,CO
LAU,Lamu,KE
LAV,Lalomalava,WS
LBJ,Komodo Airport,ID
JIK,Ikaria Airport,GR
JIM,Jimma Airport,ET
JIN,Jinja,UG
LBA,Leeds Bradford International Airport,GB
JIO,International Heliport,US
JIP,Jipijapa,EC
LAF,Purdue University,US
LAN,Capital Region International Airport,US
LAO,Laoag Airport,PH
LBH,Palm Beach SPB,AU
JIQ,Qianjiang Wulingshan Airport,CN
JIW,Jiwani,PK
LBK,Liboi,KE
LBL,Liberal Municipal Airport,US
LBN,Lake Baringo,KE
LBO,Lusambo,CD
LBP,Long Banga Airfield,MY
LAW,Lawton-Fort Sill Regional Airport,US
LBR,Labrea,BR
LBT,Lumberton,US
LAX,Los Angeles International Airport,US
LAY,Ladysmith,ZA
LAZ,Bom Jesus Da Lapa,BR
LBC,Lubeck Blankensee,DE
LBD,Khujand Airport,TJ
JJA,Jajao,SB
JJD,Jericoacoara,BR
JJG,Jaguaruna Regional Airport,BR
JJI,Juanjui,PE
JJM,Mulika Lodge Airport,KE
LBW,Long Bawan,ID
LBX,Lubang,PH
LBY,Montoir,FR
LBZ,Lukapa,AO
LCA,Larnaca International Airport,CY
LCC,Galatina,IT
LCD,Louis Trichardt,ZA
LCE,Goloson International Airport,HN
LCF,Las Vegas,GT
LCG,A Coruna Airport,ES
LCN,Balcanoona,AU
LCI,Municipal,US
LCJ,Lodz Lublinek Airport,PL
LCP,Loncopue,AR
LCL,La Coloma,CU
LCM,La Cumbre,AR
JJU,Heliport,GL
JKV,Cherokee County,US
LCQ,Lake City,US
LCV,Lucca,IT
LDA,Malda,IN
LDK,Hovby,SE
JLB,Long Beach Heliport,US
LDB,Londrina Airport,BR
LDC,Lindeman Island,AU
LDE,Tarbes Ossun Lourdes Airport,FR
LDN,Lamidanda,NP
LDX,St-Laurent du Maroni,GF
JLD,Heliport,SE
JLH,US Army Heliport,US
JLN,Joplin Airport,US
LDM,Mason County,US
JLR,Jabalpur Airport,IN
LDO,Ladouanie,SR
LDR,Lodar,YE
JLS,Jales,BR
LDV,Landivisiau,FR
JLX,Union Station Heliport,US
JMA,Marriot Astrodome,US
JMB,Jamba,AO
JMC,Marin County,US
JMD,Market Centre Heliport,US
JMH,Marriott Heliport,US
JMJ,Lancang Jingmai Airport,CN
JMK,Mikonos Airport,GR
JMM,Malmo Harbour Heliport,SE
JMN,Municipal Heliport,US
JMO,Jomsom,NP
LEB,Lebanon Regional Airport,US
LEC,Coronel Horacio de Mattos Airport,BR
JMS,Jamestown Airport,US
LEE,Leesburg,US
LEH,Octeville,FR
LEI,Almeria Airport,ES
LEK,Labe,GN
JMY,Mammy Yoko Heliport,SL
LEN,Leon Airport,ES
LEO,Leconi,GA
LEP,Leopoldina,BR
LEQ,Lands End,GB
LET,Gen. A.V. Cobo Airport,CO
LEU,Seo de Urgel,ES
LEW,Auburn,US
LEX,Blue Grass Airport,US
LEY,Lelystad,NL
LEZ,La Esperanza,HN
LFB,Lumbo,MZ
LFH,Lanping Feng Hua Airport,CN
LFK,Lufkin Angelina County,US
LFM,Lamerd Airport,IR
LFN,Franklin,US
JNA,Januaria,BR
LFQ,Linfen Qiaoli Airport,CN
LFR,La Fria Airport,VE
LED,Pulkovo Airport,RU
LEM,Lemmon,US
LFO,Kelafo,ET
JNB,O.R. Tambo International Airport,ZA
LGC,Calloway,US
JNG,Jining Airport,CN
JNH,North Park Inn Heliport,US
JNI,Junin,AR
LGO,Langeoog,DE
LGQ,Lago Agrio Airport,EC
LGR,Cochrane,CL
LIN,Milano Linate Airport,IT
LGT,Las Gaviotas,CO
LGU,Cache,US
LIP,Lins,BR
LGY,Lagunillas,VE
LHA,Black Forest,DE
ALS,Alamosa Municipal Airport,US
LHI,Lereh,ID
LHK,Guanghua,CN
LHN,Lishan,TW
LHV,W T Piper Memorial,US
LIA,Liangping,CN
LIC,Municipal,US
LIF,Lifou Airport,NC
LIG,Bellegarde Airport,FR
LIT,Bill and Hillary Clinton National Airport,US
LGP,Legaspi Airport,PH
LGS,Malargue,AR
LIY,Wright AAF,US
LGW,London Gatwick Airport,GB
LHE,Allama Iqbal International Airport,PK
LHR,London Heathrow Airport,GB
LIE,Libenge,CD
LIH,Lihue Airport,US
LIK,Likiep Island,MH
LIL,Lille Airport,FR
LIM,Jorge Chavez International Airport,PE
LIO,Limon International Airport,CR
LIR,Liberia Airport,CR
LIS,Lisbon Portela Airport,PT
LIW,Loikaw Airport,MM
LIZ,Loring AFB,US
LJA,Lodja,CD
LJC,Intercontinental,US
LKG,Lokichoggio,KE
LJN,Brazoria County,US
LKP,Lake Placid,US
LKA,Gewayenta Airport,ID
LKC,Lekana,CG
LKE,Kenmore Air Harbor SPB,US
LKR,Las Khoreh,SO
LKI,Lakeside USAF,US
LLK,Lankaran International Airport,AZ
LLS,Las Lomitas,AR
LKS,Lakeside,US
LKV,Lake County,US
LKY,Lake Manyara Airport,TZ
LKZ,RAF Lakenheath,GB
LLB,Libo County Libo City Airport,CN
LJG,Lijiang Airport,CN
LLI,Lalibela Airport,ET
LJU,Ljubljana Joze Pucnik Airport,SI
LLN,Kelila,ID
LKH,Long Akah,MY
LKL,Banak Airport,NO
LLV,Lüliang Airport,CN
LKN,Leknes Airport,NO
LLX,Lyndonville,US
LLY,Burlington County,US
LKO,Chaudhary Charan Singh International Airport,IN
LKW,Lekhwair,OM
LLA,Lulea Airport,SE
LLC,Cagayan North International Airport,PH
LLF,Lingling Airport,CN
LML,Lae Island,MH
LMC,Lamacarena,CO
LMD,Los Menucos,AR
LND,Hunt Field,US
LME,Arnage,FR
LMH,Limon,HN
LMO,Lossiemouth RAF Station,GB
ALW,Walla Walla Airport,US
LMM,Federal Airport,MX
LMN,Limbang Airport,MY
LNK,Lincoln Airport,US
LNN,Lost Nation,US
LNP,Wise,US
LMS,Winston County,US
LNR,Tri County,US
LMZ,Palma,MZ
LNU,Robert Atty Bessing Airport,ID
LNX,Smolensk,RU
LOB,Los Andes,CL
LNJ,Lincang Airport,CN
LNL,Longnan Chengzhou Airport,CN
LNS,Lancaster Airport,US
LNV,Lihir Island,PG
LNY,Lanai Airport,US
LMB,Salima,MW
LMP,Lampedusa Airport,IT
LMQ,Marsa Brega,LY
LMR,Lime Acres,ZA
LOF,Loen,MH
LMT,Crater Lake Klamath Regional Airport,US
LNZ,Linz Airport,AT
LOE,Loei Airport,TH
LOG,Longview,US
LOH,Ciudad de Catamayo Airport,EC
LOI,Helmuth Baungartem,BR
LOL,Derby Field,US
LOM,Francisco P. V. Y R.,MX
LOO,L'Mekrareg Airport,DZ
LOP,Lombok International Airport,ID
LOR,Lowe Army Heliport,US
LOS,Murtala Muhammed International Airport,NG
LOT,Lewis Lockport,US
LOU,Bowman Field Airport,US
LOV,Monclova,MX
LOW,Louisa,US
LOX,Los Tablones Airport,GT
LOY,Loyangalani,KE
LQN,Qala Nau,AF
LRG,Lora Lai,PK
ALX,Thomas C Russell Field,US
LRH,Laleu Airport,FR
LRI,Lorica,CO
LRJ,Municipal,US
LRK,Coast Guard,US
LRL,Niamtougou,TG
LRM,La Romana Airport,DO
LRN,Larson AFB,US
LRO,Sharpe AAF,US
LRR,Lar Airport,IR
LRS,Leros Airport,GR
LTN,London Luton Airport,GB
LTO,Loreto Airport,MX
LTQ,Le Touquet,FR
LTR,Letterkenny,IE
LTS,Altus AFB,US
LTU,Latur,IN
LTX,Cotapaxi International Airport,EC
LUD,Luderitz Airport,NA
LUE,Lucenec,SK
LUL,Hesler-Noble Field,US
LUG,Lugano Airport,CH
LUH,Ludhiana Sahnewal Airport,IN
LUI,La Union,HN
LUK,Cincinnati Municipal Lunken Airport,US
LUS,Lusanga,CD
LUX,Luxembourg Airport,LU
LUO,Luena,AO
LVK,Livermore,US
LUQ,San Luis Airport,AR
LVP,Lavan,IR
LTL,Lastourville,GA
LWB,Greenbrier Valley Airport,US
LWC,Lawrence,US
LWE,Lewoleba,ID
LYE,Lyneham RAF Station,GB
LWL,Harriet Field,US
LWM,Lawrence,US
LWN,Leninakan Airport,AM
LWO,Lviv International Airport,UA
KOY,Olga Bay SPB,US
LWR,Leeuwarden,NL
LWS,Lewiston-Nez Perce County Regional Airport,US
LWT,Municipal,US
LWV,Municipal,US
LWY,Lawas Airport,MY
LXA,Lhasa Gonggar Airport,CN
MAE,Madera,US
BKT,Blackstone AAF,US
MAH,Menorca Airport,ES
MAI,Mangochi,MW
MAJ,Amata Kabua International Airport,MH
MAK,Malakal,SS
MAM,Matamoros Airport,MX
MAN,Manchester Airport,GB
MAQ,Mae Sot Airport,TH
MAR,La Chinita Airport,VE
MAS,Momote Airport,PG
MAT,Matadi,CD
MAU,Maupiti,PF
MAV,Maloelap Island,MH
MAD,Adolfo Suarez Madrid-Barajas Airport,ES
MBE,Monbetsu Airport,JP
MAZ,Eugenio M. De Hostos Airport,PR
MBG,Mobridge,US
MBM,Mkambati,ZA
MBC,Mbigou,GA
MBD,Mmabatho International Airport,ZA
MBZ,Maues,BR
MBK,Matupa,BR
KAQ,Kamulai,PG
AMN,Gratiot Community,US
AMW,Ames,US
ANB,Anniston Metropolitan,US
AND,Anderson,US
ANP,Lee,US
ANQ,Tri-State Steuben County,US
ANW,Ainsworth,US
ANY,Anthony,US
AOH,Allen County,US
APA,Centennial Airport,US
ATL,Hartsfield-Jackson Atlanta International Airport,US
WBU,Boulder Municipal,US
AVX,Avalon Bay,US
AXS,Municipal,US
BCE,Bryce,US
BDE,Baudette,US
BDR,Igor I. Sikorsky Memorial,US
BEC,Beech,US
BFM,Mobile Downtown Airport,US
KBE,Hot Springs SPB,US
BFP,Beaver Falls,US
BML,Berlin Municipal Airport,US
BQK,Glynco Jetport,US
BTY,Beatty,US
BYH,Blytheville AFB,US
CAE,Columbia Metropolitan Airport,US
CBM,Columbus AFB,US
CEA,Cessna Aircraft Field,US
CGS,College Park,US
CIU,Chippewa County Airport,US
KCC,Coffman Cove SPB,US
KCG,Fisheries,US
KCR,Colorado Creek,US
KCL,Lagoon,US
CLT,Charlotte Douglas International Airport,US
CRG,Craig Municipal,US
CRP,Corpus Christi International Airport,US
CSG,Columbus Airport,US
KCN,SPB,US
CUB,Owens Field,US
CYS,Cheyenne,US
DCA,Ronald Reagan National Airport,US
DGL,Douglas Municipal,US
KIP,Kickapoo,US
DNN,Municipal,US
MRE,Mara Lodges Airport,KE
KTJ,Kichwa Tembo Airport,KE
KDQ,Kamberatoro,PG
KDS,Kamaran Downs,AU
LKU,Lake Rudolf,KE
KEB,Nanwalek,US
KDP,Kandep,PG
DRA,Desert Rock,US
DRE,Drummond Island,US
DTN,Shreveport Downtown,US
DWH,David Wayne Hooks,US
KDW,Vic. Resevour Kandy,LK
KRV,Kerio Valley,KE
KEK,Ekwok,US
KEG,Keglsugl,PG
EFK,Newport,US
END,Vance AFB,US
KEX,Kanabea,PG
FAF,Felker AAF,US
FCM,Flying Cloud Airport,US
FLL,Fort Lauderdale-Hollywood International Airport,US
FLX,Municipal,US
FNL,Municipalcipal Airport,US
FOE,Forbes Field,US
FRD,Friday Harbor Airport,US
FSI,Henry Post AAF,US
FTW,Meacham Field,US
GCN,National Park,US
KGX,Grayling Airport,US
GWS,Glenwood Springs,US
KGW,Kagi,PG
HOU,William P. Hobby Airport,US
HTW,Lawrence County Airpark,US
IAB,Mcconnell AFB,US
IAH,George Bush Intercontinental Airport,US
INS,Af Aux,US
IPL,Imperial County Airport,US
KIA,Kaiapit,PG
ISN,Sloulin Field International Airport,US
KIB,SPB,US
KIQ,Kira,PG
LAS,McCarran International Airport,US
KIZ,Kikinonda,PG
LBB,Lubbock Preston Smith International Airport,US
DTH,Death Valley,US
JAS,County,US
KJU,Kamiraba,PG
KKB,SPB,US
KKL,Karluk Lake SPB,US
KLS,Longview,US
LPC,Lompoc Airport,US
LSF,Lawson AAF,US
LUF,Luke AFB,US
LFI,Langley AFB,US
LGF,Laguna AAF,US
LNA,Palm Beach County Park,US
KMB,Koinambe,PG
MAF,Midland International Airport,US
MAC,Smart,US
MCE,Merced Municipal Airport,US
MCF,Mac Dill AFB,US
MCN,Lewis B Wilson,US
KMF,Kamina,PG
MGE,Dobbins AFB,US
MGM,Montgomery Regional Airport,US
MGR,Moultrie Municipal,US
MHR,Mather Airport,US
MIB,Minot AFB,US
KMM,Kimam,ID
MVY,Martha's Vineyard Airport,US
FWH,Fort Worth NAS Jrb/Carswell Field,US
MWC,Lawrence J Timmerman,US
MYF,Montgomery Field,US
NIP,Jacksonville NAS,US
NJK,El Centro NAF,US
KMY,Moser Bay,US
KNL,Kelanoa,PG
KOL,Koumala,CF
NQX,Key West NAS /Boca Chica Field (private U. S. Navy ),US
NRB,Ns,US
OKC,Will Rogers World Airport,US
KOM,Komo-Manda,PG
KOR,Kokoro,PG
ESD,Orcas Island Airport,US
GLB,San Calos Apache,US
KPB,Point Baker SPB,US
KPE,Yapsiei,PG
KPL,Kapal,PG
KPR,Port Williams SPB,US
KRJ,Karawari,PG
RFG,Rooke Field,US
RHV,Reid-Hillview,US
KPY,Port Bailey SPB,US
KQA,Akutan,US
KQL,Kol,PG
KRU,Kerau,PG
RND,Randolph AFB,US
ROC,Greater Rochester International Airport,US
SCH,Schenectady County,US
SDM,Brown Field Municipalcipal,US
SFF,Felts Field,US
SKF,Kelly AFB,US
SVQ,Seville Airport,ES
KSG,Kisengan,PG
KTB,Thorne Bay,US
RUI,Ruidoso Sierra Blanca Regional Airport,US
SSC,Shaw AFB,US
KSP,Kosipe,PG
TEX,Telluride Regional,US
THA,Tullahoma/William Northern Field,US
KTK,Kanua,PG
TPH,Tonopah Airport,US
VAD,Moody AFB,US
KUX,Kuyol,PG
BFG,Bullfrog Basin,US
KUP,Kupiano,PG
KVE,Kitava,PG
KWF,Waterfall SPB,US
KWP,Village SPB,US
KWV,Kurwina,PG
KWX,Kiwai Island,PG
KWY,Kiwayu,KE
KXA,Kasaan SPB,US
KZB,Zachar Bay SPB,US
KZF,Kaintiba,PG
LAC,Layang-Layang Airstrip,MY
LBM,Luabo,MZ
VLC,Valencia Airport,ES
XRY,Jerez Airport,ES
LDW,Lansdowne,AU
ABC,Los Llanos,ES
AGP,Malaga Airport,ES
ALC,Alicante-Elche Airport,ES
CQM,Ciudad Real Central,ES
ANE,Angers-Marce Airport,FR
LTT,La Mole,FR
BSL,EuroAirport Swiss,CH
CDG,Charles de Gaulle Airport,FR
SXB,Strasbourg Airport,FR
TLN,Hyeres Airport,FR
PEV,Pecs Pogany,HU
LGE,Lake Gregory,AU
AOK,Karpathos Airport,GR
FOG,Gino Lisa,IT
LGM,Laiagam,PG
LGN,Linga Linga,PG
LHP,Lehu,PG
PIX,Pico Island Airport,PT
VIC,Trissino,IT
LNM,Langimar,PG
LNC,Lengbati,PG
LNF,Munbil,PG
LNQ,Loani,PG
LLH,Las Limas,HN
AVR,Alverca,PT
CAT,Cascais Municipal Aerodrome,PT
CVU,Corvo Island (Azores) Airport,PT
LLL,Lissadell,AU
PED,Pardubice Airport,CZ
VOD,Vodochody,CZ
EIY,Ein Yahav,IL
ETH,Eilat Airport,IL
ETM,Ramon Airport,IL
FAO,Faro Airport,PT
FLW,Santa Cruz Airport,PT
HOH,Hohenems-Dornbirn,AT
SZG,W. A. Mozart Salzburg Airport,AT
BBU,Baneasa,RO
LTF,Leitre,PG
LUZ,Lublin Airport,PL
KZR,Zafer Airport,TR
NOP,Sinop Airport - Turkey,TR
ADB,Izmir Adnan Menderes Airport,TR
AOE,Anadolu University,TR
GNY,Sanliurfa GAP Airport,TR
ISL,Istanbul Ataturk Airport,TR
MDR,Medfra,US
MAP,Mamai,PG
MDS,Middle Caicos,TC
NCA,North Caicos,TC
MDV,Medouneu,GA
MGG,Margarima,PG
MGP,Manga,PG
PIC,Pine Cay,TC
AAZ,Quetzaltenango,GT
AIM,Ailuk Island,MH
BII,Enyu Airfield,MH
BTS,Bratislava Airport,SK
CMM,Carmelita,GT
SLX,Salt Cay,TC
DOA,Doany,MG
GDT,Grand Turk Island,TC
CDD,Cauquira,HN
MJE,Majkin,MH
MHY,Morehead,PG
KBT,Kaben,MH
MIZ,Mainoru,AU
KIN,Norman Manley International Airport,JM
MJJ,Moki,PG
EBN,Ebadon,MH
JAT,Jabot,MH
JEJ,Jeh,MH
MKN,Malekolon,PG
MLQ,Malalaua,PG
MUG,Mulege,MX
NOG,Nogales,MX
ACN,International,MX
AZP,Atizapan,MX
CUA,Ciudad Constitución Airport,MX
BZA,San Pedro,NI
MNP,Maron,PG
MPG,Makini,PG
MPU,Mapua,PG
MPX,Miyanmin,PG
MQO,Malam,PG
CSC,Canas,CR
NCT,Guanacaste,CR
MRT,Moroak,AU
NOB,Nosara Beach,CR
DRK,Drake Bay,CR
GAO,Los Canos Airport,CU
GER,Rafael Cabrera Airport,CU
GLF,Golfito Airport,CR
MVI,Manetai,PG
MWR,Motswari Airfield,ZA
MAY,Mangrove Cay,BS
NAS,Lynden Pindling International Airport,BS
MYX,Menyamya,PG
MXK,Mindik,PG
LLM,Long Lama,MY
MYK,May Creek,US
MYG,Mayaguana Airport,BS
ASD,Andros Town,BS
ATC,Arthur's Town,BS
BIM,Bimini International Airport,BS
CCZ,Chub Cay,BS
CRI,Crooked Island Airport,BS
CXY,Cat Cays,BS
CYB,Charles Kirkconnel International Airport,KY
MFW,Magaruque,MZ
NMC,Norman's Cay,BS
RCY,Rum Cay,BS
ELH,North Eleuthera International Airport,BS
GHB,Governor's Harbour Airport,BS
GHC,Great Harbour,BS
MZE,Manatee,BZ
MGS,Mangaia Island,CK
AQS,Saqani,FJ
MUK,Mauke Island,CK
MHX,Manihiki Island,CK
KDV,Kandavu Airport,FJ
NDI,Namudi,PG
LBS,Labasa Airport,FJ
LEV,Levuka Airfield,FJ
LKB,Lakeba Airport,FJ
KXF,Koro Island,FJ
MOI,Mitiaro Island,CK
KAY,Wakaya Island,FJ
AIT,Aitutaki Airport,CK
AIU,Atiu Island,CK
BEZ,Beru,KI
BVF,Dama,FJ
BZE,Philip S.W. Goldson International Airport,BZ
IBO,Ibo,MZ
TTL,Turtle Island,FJ
ICI,Cicia,FJ
IMI,Ine Island,MH
NDN,Nadunumu,PG
MNF,Mana Island Airstrip,FJ
LUC,Laucala Island,FJ
NAN,Nadi International Airport,FJ
MFJ,Moala,FJ
NFO,Mata'aho,TO
KUC,Kuria,KI
PTF,Malololailai,FJ
ONU,Ono I Lau,FJ
NIG,Nikunau,KI
OOT,Onotoa,KI
PYE,Penrhyn Island,CK
SVU,Savusavu Airport,FJ
VAU,Vatukoula,FJ
MKP,Makemo,PF
FAC,Faaite,PF
TBF,Tabiteuea North,KI
FAV,Fakarava Airport,PF
FGU,Fangatau,PF
FHZ,Fakahina,PF
NAU,Napuka Island,PF
FTI,Fitiuta,AS
GMR,Gambier Island,PF
HBB,Industrial Airpark,US
MVT,Mataiva,PF
NON,Nonouti,KI
HHZ,Hikueru,PF
RVV,Raivavae,PF
TIH,Tikehau Atoll Airport,PF
KKR,Kaukura Atoll Airport,PF
TKV,Tatakoto,PF
TKP,Takapoto,PF
KHZ,Kauehi Airport,PF
NOO,Naoro,PG
AAA,Anaa,PF
AAK,Aranuka,KI
AEA,Abemama Atoll,KI
AHE,Ahe Airport,PF
APK,Apataki,PF
AXR,Arutua Airport,PF
BBG,Butaritari,KI
NPG,Nipa,PG
NRY,Newry,AU
NIK,Niokolo Koba,SN
NOM,Nomad River,PG
PKP,Puka Puka,PF
NTA,Natadola,FJ
NUK,Nukutavake,PF
RMT,Rimatara,PF
PUK,Pukarua,PF
RKA,Aratika-Nord,PF
REA,Reao,PF
RUR,Rurutu,PF
RRR,Raroia,PF
UAH,Ua Huka,PF
LOD,Longana,VU
LNE,Lonorore,VU
MTV,Mota Lava,VU
UOA,Mururoa Airstrip,PF
TGH,Tongoa,VU
MWF,Maewo,VU
TOH,Torres Airstrip,VU
LPM,Lamap,VU
AUQ,Hiva Oa Airport,PF
AUY,Aneityum,VU
AWD,Aniwa,VU
BOB,Motu Mute Airport,PF
CCV,Craig Cove,VU
LNB,Lamen Bay,VU
MEE,Mare Airport,NC
NHV,Nuku Hiva Airport,PF
UIQ,Quine Hill,VU
DLY,Dillons Bay,VU
EAE,Emae,VU
FTA,Futuna Airport,VU
HOI,Hao Island,PF
IPA,Ipota,VU
NUG,Nuguria,PG
PBJ,Paama,VU
RGI,Rangiroa Airport,PF
SLH,Sola,VU
SSR,Sara,VU
SWJ,South West Bay,VU
VHZ,Vahitahi,PF
VLI,Bauerfield Airport,VU
MON,Mount Cook Airport,NZ
MFN,Milford Sound,NZ
RAG,Raglan,NZ
ALR,Alexandra,NZ
CMV,Coromandel,NZ
DGR,Dargaville,NZ
GTN,Glentanner,NZ
HKK,Hokitika Airport,NZ
OAZ,Camp Bastion,AF
AHB,Abha Regional Airport,SA
OGE,Ogeranang,PG
SLF,Sulayel,SA
OGM,Ogobsucum,PA
ACP,Sahand,IR
AEU,Abu Musa,IR
BUZ,Bushehr Airport,IR
